"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"06/30/2025","AQS","180190010","1","10.1","ug/m3 LC","53","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"07/03/2025","AQS","180190010","1","10.5","ug/m3 LC","54","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"07/06/2025","AQS","180190010","1","13.6","ug/m3 LC","59","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"07/09/2025","AQS","180190010","1","12.5","ug/m3 LC","57","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"07/12/2025","AQS","180190010","1","11.1","ug/m3 LC","55","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"07/15/2025","AQS","180190010","1","7.4","ug/m3 LC","41","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"07/18/2025","AQS","180190010","1","6.1","ug/m3 LC","34","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"07/21/2025","AQS","180190010","1","6.5","ug/m3 LC","36","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"07/24/2025","AQS","180190010","1","10","ug/m3 LC","53","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"07/27/2025","AQS","180190010","1","6","ug/m3 LC","33","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"07/30/2025","AQS","180190010","1","11.6","ug/m3 LC","56","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"08/02/2025","AQS","180190010","1","11.7","ug/m3 LC","56","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
"08/05/2025","AQS","180190010","1","7.5","ug/m3 LC","42","Jeffersonville- Bates-Bowyer Ave.","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.2881908269178","-85.741336506"
